ICE Case Reference,ICE_Sector,ICE_SubSector,ICE_FunctionType,ICE_Decision,ICE_Legislation,ICE_Received Datetime,ICE_Completed DateTime,CRIMSON Case Reference,CRIMSON Incident Outcome,CRIMSON Received Date,CRIMSON Closed Date,CRIMSON Data Controller
IC-217531-N6G1,Legal,Legal professionals,Personal Data Breach,Investigation Pursued,GDPR,20/02/2023,11/04/2023,IC/0131/2023,No further action,11/04/2023,05/07/2023,Forrester Sylvester Mackett LLP
IC-221440-X0G2,Retail and manufacture,Supplier of goods,Personal Data Breach,Investigation Pursued,GDPR,12/03/2023,11/04/2023,IC/0130/2023,No further action,11/04/2023,07/07/2023,The Freecycle Network
IC-232734-K0K0,Retail and manufacture,Supplier of services,Personal Data Breach,Investigation Pursued,GDPR,10/05/2023,17/05/2023,IC/0167/2023,No further action,17/05/2023,11/07/2023,Cobalt Ground Solutions Limited
IC-227299-C3T3,Retail and manufacture,Supplier of services,Personal Data Breach,Investigation Pursued,GDPR,11/04/2023,10/05/2023,IC/0160/2023,No further action,10/05/2023,11/07/2023,Procurri Europe Lifecycle Services
IC-232268-P0X4,Health,Health research,Personal Data Breach,Investigation Pursued,GDPR,11/05/2023,30/05/2023,IC/0191/2023,No further action,30/05/2023,11/07/2023,TechnologyOne Limited
IC-228453-V6Y6,Marketing,Marketing providers,Personal Data Breach,Investigation Pursued,GDPR,18/04/2023,10/05/2023,IC/0161/2023,No further action,10/05/2023,11/07/2023,The Imagination Group Limited
IC-237622-B4K1,Online Technology and Telecoms,Price comparison services,Personal Data Breach,Investigation Pursued,Hybrid,08/06/2023,12/06/2023,IC/0216/2023,No further action,12/06/2023,11/07/2023,Uswitch Ltd
IC-221789-R6X2,Education and childcare,Academy and Free Schools,Personal Data Breach,Investigation Pursued,GDPR,13/03/2023,19/04/2023,IC/0140/2023,No further action,19/04/2023,14/07/2023,The Three Rivers Learning Trust
IC-222611-H4H1,"Finance, insurance and credit",Insurance,Personal Data Breach,Investigation Pursued,GDPR,17/03/2023,12/05/2023,IC/0163/2023,No further action,12/05/2023,19/07/2023,Homeserve
IC-237777-S9W6,Online Technology and Telecoms,Software developers,Personal Data Breach,Investigation Pursued,NIS,11/06/2023,13/06/2023,IC/0222/2023,No further action,13/06/2023,19/07/2023,Microsoft Ireland Operations Limited
IC-234200-F1M9,Retail and manufacture,Supplier of goods,Personal Data Breach,Investigation Pursued,GDPR,19/05/2023,21/06/2023,IC/0230/2023,No further action,21/06/2023,19/07/2023,Tancia Limited
IC-228122-H2P4,Retail and manufacture,Manufacturing,Personal Data Breach,Investigation Pursued,GDPR,15/04/2023,12/06/2023,IC/0215/2023,No further action,12/06/2023,21/07/2023,ColorMatrix Europe Limited
IC-198330-M2Y7,Retail and manufacture,Supplier of services,Personal Data Breach,Investigation Pursued,GDPR,19/10/2022,26/04/2023,IC/0150/2023,No further action,26/04/2023,21/07/2023,IM Group Limited
IC-224287-F8K9,Online Technology and Telecoms,Social media,Personal Data Breach,Investigation Pursued,GDPR,27/03/2023,09/05/2023,IC/0158/2023,No further action,09/05/2023,01/08/2023,Twitter International Unlimited Company
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IC/0157/2023,No further action,09/05/2023,02/08/2023,SD Worx UK Limited
IC-234256-F8G5,General business,Supplier of services,Personal Data Breach,Investigation Pursued,GDPR,19/05/2023,22/06/2023,IC/0232/2023,No further action,22/06/2023,04/08/2023,Compass Contract Services (UK) Limited
IC-234835-L1Q8,Retail and manufacture,Supplier of services,Personal Data Breach,Investigation Pursued,GDPR,21/05/2023,22/06/2023,IC/0233/2023,No further action,22/06/2023,04/08/2023,FCC Environment (UK) Limited
IC-231150-S5D3,Education and childcare,Academy and Free Schools,Personal Data Breach,Investigation Pursued,GDPR,03/05/2023,31/05/2023,IC/0196/2023,No further action,31/05/2023,04/08/2023,Hockerill Anglo-European College
IC-233062-K4Q8,Land or property services,Property management,Personal Data Breach,Investigation Pursued,GDPR,12/05/2023,02/06/2023,IC/0202/2023,No further action,02/06/2023,08/08/2023,City Facilities Management Holdings Limited
