Ref Number,Organisation,Closure Date,Incident Outcome Desc
IC/0313/2022,Mount Stewart Schools ,01/07/2022,No further action
IC/0297/2022,Aberdeenshire Council ,07/07/2022,No further action
IC/0296/2022,Cabot Learning Federation (Kings Oak Academy) ,07/07/2022,No further action
IC/0785/2021,Frontier Software PLC ,07/07/2022,No further action
IC/0579/2021,Stor-a-File Ltd,07/07/2022,No further action
IC/0311/2022,The Evangelical Alliance ,07/07/2022,No further action
IC/0326/2022,Inenco Group Limited ,08/07/2022,No further action
IC/0073/2022,Vitality Health Limited ,11/07/2022,No further action
IC/0339/2021,Woking College ,15/07/2022,No further action
IC/0331/2022,Click&Boat ,20/07/2022,No further action
IC/0282/2022,Dellner Limited ,20/07/2022,No further action
IC/0325/2022,Lochcarron John Buchan Limited,20/07/2022,No further action
IC/0324/2022,Omnicell Limited,20/07/2022,No further action
IC/0316/2022,Phosters (FM) Ltd ,20/07/2022,No further action
IC/0267/2022,Royal Holloway University of London ,20/07/2022,No further action
IC/0275/2022,Shooters Hill Sixth Form College ,20/07/2022,No further action
IC/0345/2022,The Demontfort School (part of Four Stones Multi Academy Trust),20/07/2022,No further action
IC/0241/2022,Shiseido UK Limited ,26/07/2022,No Personal Data Involved
IC/0354/2022,Sixt Rent A Car Limited ,29/07/2022,No further action
IC/0641/2021,Kingsweston School ,09/08/2022,No further action
IC/0222/2021,Matthew Clark Bibendum Limited ,09/08/2022,No further action
IC/0839/2021,ReAssure Limited ,09/08/2022,No further action
IC/0144/2022,Rishworth School ,09/08/2022,No further action
IC/0017/2022,Salesian College Farnborough Limited ,09/08/2022,No further action
IC/0317/2022,Whittington Primary School ,09/08/2022,No further action
IC/0376/2022,Akka Development UK Limited ,12/08/2022,No further action
IC/0375/2022,Alfred H Knight Holdings Ltd ,12/08/2022,No further action
IC/0281/2022,Direct Ferries Limited ,12/08/2022,No further action
IC/0378/2022,D-UK International Limited,12/08/2022,No further action
IC/0741/2021,Liberty Gas ,12/08/2022,No further action
IC/0369/2022,Rogers & Norton Ltd,12/08/2022,No further action
IC/0081/2022,The British Red Cross Society ,16/08/2022,No further action
IC/0304/2022,The Contact Company ,24/08/2022,No further action
IC/0333/2022,B&Q Limited ,25/08/2022,No further action
IC/0364/2022,Brand Global Ltd ,26/08/2022,No further action
IC/0337/2022,Inquilab Housing Association Limited ,05/09/2022,No further action
IC/0330/2022,News Corporation ,08/09/2022,No further action
IC/0362/2021,Also Leisure Limited ,09/09/2022,No further action
IC/0448/2022,Snap Group Limited ,09/09/2022,No further action
IC/0377/2022,Acorn Recruitment Limited ,27/09/2022,No further action
IC/0380/2022,Champion Products Europe Limited & Sheridan U.K. Limited (Champion UK) ,27/09/2022,No further action
IC/0432/2022,Gebr. Knauf KG (Holding Knauf Group) ,27/09/2022,No further action
IC/0602/2021,Independent Office for Police Conduct  ,27/09/2022,No further action
IC/0315/2022,Photo Paper Direct Limited ,27/09/2022,No further action
IC/0230/2022,Scottish Association for Mental Health ,27/09/2022,No further action
IC/0466/2022,Eurocell plc ,28/09/2022,No further action
IC/0465/2022,Graham & Brown Limited ,28/09/2022,No further action
IC/0434/2022,Spalding Grammar School ,28/09/2022,No further action
IC/0150/2022,Highfields School ,29/09/2022,No further action
IC/0353/2022,AGCO Limited ,30/09/2022,No further action
IC/0450/2022,Anon DC,30/09/2022,No further action
IC/0341/2022,J O Hambro Capital Management Limited  ,30/09/2022,No further action
IC/0261/2022,Trant Engineering Limited ,30/09/2022,No further action
