Name,Organisation,Final Value,Date Closed,Investigation Outcome Desc
,,,,
INV/0105/2020, Homerton University Hospital NHS Foundation Trust ,0,06/01/2021,Advice provided
INV/0818/2020, Homerton University Hospital NHS Foundation Trust ,0,07/01/2021,Advice provided
INV/0836/2020, Sedgwick International UK ,0,07/01/2021,No action for DC
INV/1368/2020, Liz Earle Beauty Company ,0,07/01/2021,No action for DC
INV/0006/2021, WMG Advisors LLP ,0,08/01/2021,No action for DC
INV/0835/2020, Pritchard Patent Product Co. Limited ,0,08/01/2021,No action for DC
INV/1021/2020, Paragon Customer Communications (Redruth) Ltd ,0,08/01/2021,No action for DC
INV/1196/2020, Cardiff Metropolitan University ,0,08/01/2021,No action for DC
INV/1706/2020, Homerton University Hospital NHS Foundation Trust ,0,08/01/2021,Advice provided
INV/1707/2020, Homerton University Hospital NHS Foundation Trus,0,08/01/2021,Advice provided
INV/1734/2020, Homerton University Hospital NHS Foundation Trust ,0,08/01/2021,Advice provided
INV/1740/2020, Close Invoice Finance Limited ,0,08/01/2021,No action for DC
INV/0751/2020, Innovate Trust  ,0,13/01/2021,No action for DC
INV/0848/2020, Heston Community School ,0,13/01/2021,Advice provided
INV/0274/2020, Cornwall Education Learning Trust  ,0,14/01/2021,No action for DC
INV/0318/2020,Multiple organisations,0,15/01/2021,Advice provided
INV/1662/2020, Chief Constable West Midlands Police ,0,15/01/2021,No action for DC
INV/1748/2020, Nagwa Limited ,0,15/01/2021,No action for DC
INV/1754/2020, BTMK Solicitors Limited ,0,15/01/2021,No action for DC
INV/0872/2020, Staff Select Ltd ,0,19/01/2021,No action for DC
INV/0909/2020, Payne Hicks Beach ,0,19/01/2021,No action for DC
INV/1148/2020, Begbies Traynor (Central) LLP ,0,21/01/2021,Advice provided
INV/1580/2020, Charles Stanley & Co Limited ,0,21/01/2021,No action for DC
INV/1144/2020, Ashford Borough Council,0,25/01/2021,Advice provided
INV/1145/2020, City of Lincoln Council ,0,25/01/2021,Advice provided
INV/1146/2020, Northgate Public Services (UK) Limited ,0,25/01/2021,Advice provided
INV/0002/2021,TaskRabbit Inc,0,27/01/2021,Advice provided
INV/0026/2021, TAM International Inc ,0,27/01/2021,Advice provided
INV/0074/2021, Dorling Cottrell Ltd ,0,27/01/2021,Advice provided
INV/0883/2020, Homerton University Hospital NHS Foundation Trust,0,27/01/2021,Advice provided
INV/1502/2020, Richardson Sales Performance ,0,27/01/2021,Advice provided
INV/1530/2020,Business Technology Group ,0,27/01/2021,Advice provided
INV/1534/2020, Protec Fire Detection Public Limited Company ,0,27/01/2021,Advice provided
INV/1564/2020, Corehard Limited ,0,27/01/2021,Advice provided
INV/1565/2020, Sunsquare Ltd ,0,27/01/2021,Advice provided
INV/1601/2020, Bow Wow Meow ltd ,0,27/01/2021,Advice provided
INV/1633/2020, Enghouse Interactive (UK) Limited ,0,27/01/2021,Advice provided
INV/1634/2020, Rubix Group International Limited ,0,27/01/2021,Advice provided
INV/1640/2020, LGWP Limited T/A LGWP Law ,0,27/01/2021,Advice provided
INV/1648/2020, C CARNEVALE LIMITED ,0,27/01/2021,Advice provided
INV/1715/2020, Fasken Martineau LLP ,0,27/01/2021,Advice provided
INV/1722/2020, Print Image Network Ltd ,0,27/01/2021,Advice provided
INV/1737/2020, Heywards ,0,27/01/2021,Advice provided
INV/1738/2020, Arthur C Heyward Limited ,0,27/01/2021,Advice provided
INV/1745/2020, adm Group Limited ,0,27/01/2021,Advice provided
INV/1591/2020, Braddon & Snow Limited ,0,28/01/2021,Advice provided
INV/1598/2020, Penn United Technologies Inc ,0,28/01/2021,Advice provided
INV/1606/2020, Lincoln College ,0,28/01/2021,Advice provided
INV/1624/2020, Merida Bicycles Ltd ,0,28/01/2021,Advice provided
INV/1651/2020, Compass Schools Trust ,0,28/01/2021,Advice provided
INV/1694/2020, Now PAYG Limited ,0,28/01/2021,Advice provided
INV/1751/2020, Margaret Haes Riding Centre ,0,28/01/2021,Advice provided
INV/0993/2020, Excis Limited ,0,29/01/2021,No action for DC
INV/1012/2020, The British Deer Society ,0,29/01/2021,Advice provided
INV/1014/2020, Hydro Mechanical Services Ltd ,0,29/01/2021,Advice provided
INV/1304/2020, Rödl and Partner Limited,0,29/01/2021,Advice provided
INV/1377/2020, Rodl and Partner Legal Limited ,0,29/01/2021,Advice provided
INV/1380/2020, Rosenblatt Limited ,0,29/01/2021,No action for DC
INV/1389/2020, Shaneel Enterprises Limited ,0,29/01/2021,Advice provided
INV/1471/2020, TCS Biosciences Ltd ,0,29/01/2021,No action for DC
INV/1487/2020," Omaze, Inc ",0,29/01/2021,No action for DC
INV/1747/2020, Kannegiesser UK Ltd ,0,29/01/2021,No action for DC
INV/0141/2021, Grass Valley Broadcast Solutions Limited  ,0,01/02/2021,Advice provided
INV/1671/2020, TV Edwards LLP ,0,01/02/2021,No action for DC
INV/1739/2020, St James Marthoma Church ,0,01/02/2021,No action for DC
INV/0019/2021, Condie & Co Limited  ,0,02/02/2021,Advice provided
INV/0020/2021, Condies Wealth Strategies Limited ,0,02/02/2021,Advice provided
INV/0027/2021, E Thornton & Co  ,0,02/02/2021,No action for DC
INV/0030/2021, Candor Group Limited ,0,02/02/2021,No action for DC
INV/0049/2021, Reardon & Co Limited ,0,02/02/2021,Advice provided
