ICE_Case Reference,ICE_Sector,ICE_SubSector,ICE_FunctionType,ICE_Decision,ICE_Legislation,ICE_Received Date,ICE_Completed Date,CRIMSON_CaseReference,CRIMSON_StartDate,CRIMSON_ClosedDate,CRIMSON_InvestigationOutcome,CRIMSON_DataController,Final Value
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INV/0249/2023,16/08/2023,04/10/2023,NFA - Created in error,Capita Public,0
IC-78679-C7W4,Online Technology and Telecoms,Service providers,Personal Data Breach,Investigation Pursued,GDPR,18/12/2020,21/12/2020,INV/1728/2020,18/12/2020,05/10/2023,No further action,Probase Applications Limited,0
IC-207396-V0T2,Education and childcare,Academy and Free Schools,Personal Data Breach,Investigation Pursued,GDPR,14/12/2022,04/04/2023,INV/0182/2023,28/06/2023,06/10/2023,No further action,Swift Academies,0
IC-233441-F2B2,Education and childcare,Community School,Personal Data Breach,Investigation Pursued,GDPR,13/05/2023,19/05/2023,INV/0247/2023,16/08/2023,06/10/2023,No further action,The Downs School,0
IC-229982-X0B9,Education and childcare,Community School,Personal Data Breach,Investigation Pursued,GDPR,28/04/2023,02/06/2023,INV/0260/2023,30/08/2023,10/10/2023,No action for DC,Bishop Heber High School,0
IC-220117-V1Y7,Social care,Domiciliary care,Personal Data Breach,Investigation Pursued,GDPR,07/03/2023,28/03/2023,INV/0175/2023,23/06/2023,11/10/2023,No further action,Care Free Management,0
IC-166447-B7D0,Retail and manufacture,Supplier of services,Personal Data Breach,Investigation Pursued,GDPR,19/04/2022,17/05/2022,INV/0286/2022,11/10/2022,12/10/2023,Reprimand,Gap Personnel Holdings Ltd,0
IC-213866-N5D1,Health,General Practitioner,Personal Data Breach,Investigation Pursued,GDPR,31/01/2023,03/04/2023,INV/0181/2023,28/06/2023,12/10/2023,No further action,Index medical Ltd,0
IC-149530-Z2Z6,"Finance, insurance and credit",Accountancy and Payroll,Personal Data Breach,Investigation Pursued,GDPR,12/01/2022,18/01/2022,INV/0120/2022,14/04/2022,17/10/2023,Reprimand,Optionis Group Limited,0
IC-236290-R9T7,Retail and manufacture,Supplier of services,Personal Data Breach,Investigation Pursued,GDPR,02/06/2023,28/06/2023,INV/0283/2023,14/09/2023,24/10/2023,No action for DC,Zellis UK Limited,0
IC-215825-F3S9,"Finance, insurance and credit",Financial services and advice,Personal Data Breach,Investigation Pursued,GDPR,09/02/2023,03/03/2023,INV/0145/2023,25/05/2023,30/10/2023,No further action,Succession Group Limited,0
IC-97846-W7B4,Education and childcare,Academy and Free Schools,Personal Data Breach,Investigation Pursued,GDPR,28/03/2021,15/04/2021,INV/0572/2021,28/03/2021,31/10/2023,No further action,Harris Federation,0
IC-229065-V1X6,Transport and leisure,Passenger transport,Personal Data Breach,Investigation Pursued,GDPR,21/04/2023,09/06/2023,INV/0267/2023,31/08/2023,03/11/2023,No action for DC,Britannia Coach Services Limited,0
IC-229070-J4J0,Transport and leisure,Holiday providers and services,Personal Data Breach,Investigation Pursued,GDPR,21/04/2023,09/06/2023,INV/0265/2023,31/08/2023,03/11/2023,No action for DC,In2action Ltd,0
IC-229059-Q2C6,Transport and leisure,Industry associations,Personal Data Breach,Investigation Pursued,GDPR,21/04/2023,09/06/2023,INV/0264/2023,31/08/2023,03/11/2023,No action for DC,Kingswood Learning and Leisure Group Limited,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INV/0276/2023,11/09/2023,03/11/2023,No action for DC,Progress Software Corporation,0
IC-205987-P8P4,Education and childcare,Higher education,Personal Data Breach,Investigation Pursued,GDPR,02/12/2022,08/12/2022,INV/0062/2023,08/03/2023,03/11/2023,No action for DC,The City Literary Institute,0
IC-165554-V2D6,Land or property services,Building and property construction,Personal Data Breach,Investigation Pursued,GDPR,08/04/2022,16/05/2022,INV/0077/2023,27/03/2023,28/11/2023,Reprimand,GRS,0
IC-251397-T4K6,Education and childcare,Unassigned,Personal Data Breach,Investigation Pursued,GDPR,10/08/2023,18/08/2023,INV/0353/2023,06/11/2023,05/12/2023,No action for DC,"Tutor Doctor Management Services, Inc",0
IC-167858-D3G5,Education and childcare,Maintained schools,Personal Data Breach,Investigation Pursued,GDPR,27/04/2022,27/05/2022,INV/0247/2022,22/08/2022,06/12/2023,Reprimand,Finham Park Multi Academy Trust,0
IC-207512-H5G9,Education and childcare,Academy and Free Schools,Personal Data Breach,Investigation Pursued,GDPR,15/12/2022,18/01/2023,INV/0093/2023,17/04/2023,08/12/2023,No action for DC,Dixons Manningham Academy,0
IC-236350-J3T0,Education and childcare,Maintained schools,Personal Data Breach,Investigation Pursued,GDPR,02/06/2023,04/07/2023,INV/0298/2023,28/09/2023,12/12/2023,No action for DC,The Dorchester Learning Centre,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INV/0301/2020,08/11/2019,20/12/2023,No further action,BLACK TREE GAMING LIMITED,0
IC-46310-G8R4,Online Technology and Telecoms,Service providers,Personal Data Breach,Investigation Pursued,GDPR,12/07/2020,10/08/2020,INV/0731/2020,16/07/2020,21/12/2023,No further action,WP Technology (UK) Limited,0
