Name,Start Date,Organisation,Date Closed,Final Value,Investigation Outcome Desc
INV/0618/2021,02/03/2021,Royal Jordanian Airlines,19/01/2022,0,No action for DC
INV/0619/2021,02/03/2021,Malaysia Airlines ,19/01/2022,0,No action for DC
INV/0620/2021,04/03/2021,Air India,19/01/2022,0,No action for DC
INV/0621/2021,05/03/2021,EVA Airways,19/01/2022,0,No action for DC
INV/0001/2021,11/12/2020,Welsh Language Commissioner,20/01/2022,0,Reprimand
INV/0679/2021,18/06/2021,Fastly Limited,24/01/2022,0,No further action
INV/0196/2021,29/01/2021,Total Fitness Health Clubs Limited,03/02/2022,0,No further action
INV/0025/2021,07/12/2020,Transform Hospital Group Limited,10/02/2022,0,No action for DC
INV/0849/2021,30/04/2021,The Royal British Legion,10/02/2022,0,Advice provided
INV/1670/2020,03/12/2020,US Fertility LLC & Shady Grove Fertility,04/03/2022,0,Advice provided
INV/0296/2021,19/02/2021,Winterhighland Limited,16/03/2022,0,No further action
