Ref Number,Organisation,Closure Date,Incident Outcome Desc
IC/0486/2022,Sheppard Robson People Ltd ,04/10/2022,No further action
IC/0268/2022,Ralph & Co Solicitors LLP ,12/10/2022,No further action
IC/0408/2022,Sharief Healthcare Ltd,12/10/2022,No further action
IC/0487/2022,T G Holdcroft Motors Ltd ,12/10/2022,No further action
IC/0400/2022,The Big Yellow Feet Production Company Limited ,12/10/2022,No further action
IC/0443/2022,Home Group ,13/10/2022,No further action
IC/0444/2022,Karbon Homes Limited ,13/10/2022,No further action
IC/0447/2022,Mosscare St Vincents Housing Group Ltd ,13/10/2022,No further action
IC/0446/2022,North Star Housing Group Ltd ,13/10/2022,No further action
IC/0441/2022,The Housing Plus Group Ltd ,13/10/2022,No further action
IC/0445/2022,York Housing Association Ltd ,13/10/2022,No further action
IC/0323/2022,MA Partners LLP,14/10/2022,No further action
IC/0426/2022,Hamlyns Limited ,17/10/2022,No further action
IC/0204/2022,Muntons (Holdings) plc ,17/10/2022,No further action
IC/0203/2022,Muntons Plc ,17/10/2022,No further action
IC/0254/2022,The Ince Group plc ,17/10/2022,No further action
IC/0407/2022,Apetito Limited ,21/10/2022,No further action
IC/0515/2022,Energy4all Limited ,21/10/2022,No further action
IC/0877/2021,Adidas UK Limited ,26/10/2022,No further action
IC/0909/2021,Astellas Pharma Europe Limited ,26/10/2022,No further action
IC/0907/2021,Astellas Pharma Limited ,26/10/2022,No further action
IC/0910/2021,Baxi Heating UK Limited ,26/10/2022,No further action
IC/0876/2021,Belron UK Limited t/a Autoglass and Laddaw  ,26/10/2022,No further action
IC/0886/2021,BMI Healthcare Limited ,26/10/2022,No further action
IC/0889/2021,Cargill Plc ,26/10/2022,No further action
IC/0887/2021,Coca-Cola European Partners Great Britain Limited,26/10/2022,No further action
IC/0891/2021,DHL Supply Chain Limited ,26/10/2022,No further action
IC/0083/2022,Gist Limited ,26/10/2022,No further action
IC/0906/2021,International SOS Assistance UK Limited ,26/10/2022,No further action
IC/0878/2021,Isola Werke UK Ltd ,26/10/2022,No further action
IC/0879/2021,Jaguar Landrover UK Limited ,26/10/2022,No further action
IC/0912/2021,National Oilwell Varco ,26/10/2022,No further action
IC/0884/2021,Norbord Europe Ltd ,26/10/2022,No further action
IC/0522/2022,Northerwood Systems Ltd ,26/10/2022,No further action
IC/0911/2021,Omega Pharma Limited ,26/10/2022,No further action
IC/0892/2021,Sainsbury's Supermarkets Ltd ,26/10/2022,No further action
IC/0890/2021,Sodexo Ltd ,26/10/2022,No further action
IC/0913/2021,State Street ,26/10/2022,No further action
IC/0883/2021,Swissport GB Limited ,26/10/2022,No further action
IC/0893/2021,The Midcounties Co,26/10/2022,No further action
IC/0904/2021,Vauxhall Finance Plc ,26/10/2022,No further action
IC/0903/2021,Wincanton Holdings Limited ,26/10/2022,No further action
IC/0744/2021,Acorn Mobility Services Ltd ,31/10/2022,No further action
IC/0277/2022,Egton Medical Information Systems Limited ,31/10/2022,No further action
IC/0121/2020,LABORATOIRE NUXE,31/10/2022,No further action
IC/0564/2021,Livescore Betting and Gaming (Gibraltar) Limited ,31/10/2022,No further action
IC/0561/2021,Livescore Group Limited ,31/10/2022,No further action
IC/0358/2022,Mandata ,31/10/2022,No further action
IC/0406/2022,Mandata (Management & Data Services) Ltd ,31/10/2022,No further action
IC/0622/2021,The Ecclesbourne School ,31/10/2022,No further action
IC/0560/2021,Virgin Bet Limited (Gibraltar) ,31/10/2022,No further action
IC/0563/2021,Virgin Bet Limited (Gibraltar) ,31/10/2022,No further action
IC/0483/2022,Macmillan Publishers International Limited,01/11/2022,No further action
IC/0506/2022,Vocational Training Charitable Trust,01/11/2022,No further action
IC/0385/2022,Cloudflare ,02/11/2022,No further action
IC/0771/2021,Centara Hotels and Resorts ,03/11/2022,No UK Jurisdiction
IC/0137/2022,Davidsons Farm & Country Ltd ,03/11/2022,No further action
IC/0510/2022,Journeycall ,03/11/2022,No further action
IC/0458/2022,Lampton School ,03/11/2022,No further action
IC/0505/2022,Techcrete UK Limited,03/11/2022,No further action
IC/0334/2022,The Diocese Of Sheffield Academies Trust ,03/11/2022,No further action
IC/0766/2021,The Neiman Marcus Group LLC,03/11/2022,No further action
IC/0476/2022,Thomas Cook Tourism (UK) Company Limited ,03/11/2022,No further action
IC/0784/2021,Great Heights Academy Trust ,04/11/2022,No further action
IC/0075/2022,Guy's and St Thomas' NHS Foundation Trust ,04/11/2022,No further action
IC/0253/2022,Kirklees College ,04/11/2022,No further action
IC/0778/2021,Pembroke House Surgery ,04/11/2022,No further action
IC/0278/2022,PPLingo Pte Ltd (LingoAce) ,04/11/2022,No further action
IC/0020/2022,Royal College of Pathologists ,04/11/2022,No further action
IC/0021/2022,St Catherine’s Hospice ,04/11/2022,No further action
IC/0276/2022,The Aviator Hotel Limited ,04/11/2022,No further action
IC/0257/2022,The Research Partnership Limited ,04/11/2022,No further action
IC/0530/2022,Joba International London Ltd ,08/11/2022,No further action
IC/0499/2022,Pascal Canelle Ltd,08/11/2022,No further action
IC/0475/2022,Moonsworth LLC ,09/11/2022,No further action
IC/0531/2022,Tom James UK Limited ,09/11/2022,No further action
IC/0449/2022,Bruichladdich Distillery ,10/11/2022,No further action
IC/0200/2022,Industries SpA ,10/11/2022,No further action
IC/0474/2022,Klaviyo Ltd ,10/11/2022,No further action
IC/0473/2022,Mativ Holdings Inc ,10/11/2022,No further action
IC/0199/2022,Moncler UK Limited,10/11/2022,No further action
IC/0554/2022,NHS Dumfries & Galloway ,10/11/2022,No further action
IC/0201/2022,Sportswear Company S.p.A. ,10/11/2022,No further action
IC/0525/2022,The Go,10/11/2022,No further action
IC/0864/2021,Xoom Ltd TA xoomtalk ,10/11/2022,No further action
IC/0370/2022,Dogmates Ltd ,11/11/2022,No further action
IC/0387/2022,Gardening Express ,11/11/2022,No further action
IC/0371/2022,Marks and Spencer Plc ,11/11/2022,No further action
IC/0367/2022,Outdoor and Cycle Concepts Ltd ,11/11/2022,No further action
IC/0374/2022,Shop Direct Home Shopping Limited ,11/11/2022,No further action
IC/0368/2022,Smyths Toys UK Limited ,11/11/2022,No further action
IC/0384/2022,The Hut.Com Limited ,11/11/2022,No further action
IC/0218/2022,The Works Stores Limited ,11/11/2022,No further action
IC/0542/2022,Uber London Limited ,17/11/2022,No further action
IC/0362/2022,Genus PLC,18/11/2022,No further action
IC/0575/2022,Logicom Computer Services (UK) Limited ,29/11/2022,No further action
IC/0551/2022,Boyes Turner LLP ,01/12/2022,No further action
IC/0556/2022,CPL Industries Limited ,01/12/2022,No further action
IC/0552/2022,Malvern St James Limited ,01/12/2022,No further action
IC/0555/2022,Reflect Digital Limited ,01/12/2022,No further action
IC/0601/2022,St Edward's School ,01/12/2022,No further action
IC/0435/2022,Association of Optometrists ,05/12/2022,No further action
IC/0585/2022,U-Blox Cambridge Ltd,20/12/2022,No further action
