ICE_Case Reference,ICE_Sector,ICE_SubSector,ICE_FunctionType,ICE_Decision,ICE_Legislation,ICE_Received Datetime,ICE_Completed DateTime,CRIMSON_CaseReference,CRIMSON_IncidentOutcome,CRIMSON_ClosedDate,CRIMSON_DataController
IC-209090-P3M5,Education and childcare,Academy and Free Schools,Personal Data Breach,Investigation Pursued,GDPR,04/01/2023,22/02/2023,IC/0063/2023,No further action,03/04/2023,Hope Sentamu Learning Trust
IC-214823-W3G7,Online Technology and Telecoms,Service providers,Personal Data Breach,Investigation Pursued,GDPR,03/02/2023,02/03/2023,IC/0071/2023,No further action,03/04/2023,Vinters IT Ltd
IC-160367-G1C6,Legal,Legal professionals,Personal Data Breach,Investigation Pursued,GDPR,11/03/2022,04/08/2022,IC/0440/2022,No further action,03/04/2023,Ward Hadaway LLP
IC-211730-Y6V3,"Finance, insurance and credit",Accountancy and Payroll,Personal Data Breach,Investigation Pursued,GDPR,19/01/2023,22/02/2023,IC/0064/2023,No further action,04/04/2023,Westcountry Payroll Limited
IC-114469-B4J3,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Personal Data Breach,Investigation Pursued,GDPR,24/06/2021,11/08/2021,IC/0416/2021,No Personal Data Involved,05/04/2023,Isle of Anglesey County Council
IC-116044-B9P3,Education and childcare,Maintained schools,Personal Data Breach,Investigation Pursued,GDPR,02/07/2021,16/08/2021,IC/0429/2021,No Personal Data Involved,05/04/2023,Ysgol David Hughes
IC-116031-C9R3,Education and childcare,Maintained schools,Personal Data Breach,Investigation Pursued,GDPR,02/07/2021,16/08/2021,IC/0425/2021,No Personal Data Involved,05/04/2023,Ysgol Gyfun Llangefni
IC-116039-M0K2,Education and childcare,Maintained schools,Personal Data Breach,Investigation Pursued,GDPR,02/07/2021,16/08/2021,IC/0427/2021,No Personal Data Involved,05/04/2023,Ysgol Syr Thomas Jones
IC-116034-M2N2,Education and childcare,Unassigned,Personal Data Breach,Investigation Pursued,GDPR,02/07/2021,16/08/2021,IC/0426/2021,No Personal Data Involved,05/04/2023,Ysgol Uwchradd Bodedern
IC-116040-P9V2,Education and childcare,Maintained schools,Personal Data Breach,Investigation Pursued,GDPR,02/07/2021,16/08/2021,IC/0428/2021,No Personal Data Involved,05/04/2023,Ysgol Uwchradd Caergybi
IC-173146-N1T2,Local government,Representative and arm's length bodies,Personal Data Breach,Investigation Pursued,GDPR,26/05/2022,19/07/2022,IC/0405/2022,No further action,11/04/2023,Humberside Fire & Rescue Service
IC-209985-J3Z6,Retail and manufacture,Supplier of services,Personal Data Breach,Investigation Pursued,GDPR,10/01/2023,13/01/2023,IC/0016/2023,No further action,11/04/2023,Royal Mail Group
IC-145219-F7P5,Legal,Legal professionals,Personal Data Breach,Investigation Pursued,GDPR,06/12/2021,02/03/2022,IC/0152/2022,No further action,14/04/2023,Freemans Solicitors
IC-157492-D0X8,Education and childcare,Academy and Free Schools,Personal Data Breach,Investigation Pursued,GDPR,21/02/2022,25/02/2022,IC/0146/2022,No further action,14/04/2023,Hall Cross Academy
IC-182370-R6T1,Education and childcare,Academy and Free Schools,Personal Data Breach,Investigation Pursued,GDPR,21/07/2022,12/08/2022,IC/0463/2022,No further action,14/04/2023,Wootton Upper School
IC-185995-N0B1,Retail and manufacture,Supplier of goods,Personal Data Breach,Investigation Pursued,GDPR,10/08/2022,23/11/2022,IC/0599/2022,No further action,20/04/2023,Continental Tyre Group Ltd
IC-182374-S9Y9,Education and childcare,Academy and Free Schools,Personal Data Breach,Investigation Pursued,GDPR,21/07/2022,12/08/2022,IC/0464/2022,No further action,20/04/2023,Kimberley 16-19 College
IC-213106-Z1G7,Retail and manufacture,Supplier of goods,Personal Data Breach,Investigation Pursued,GDPR,26/01/2023,07/03/2023,IC/0078/2023,No further action,21/04/2023,In N Outautocentres
