ICE_Case Reference,ICE_Sector,ICE_SubSector,ICE_FunctionType,ICE_Decision,ICE_Legislation,ICE_Received Datetime,ICE_Completed DateTime,CRIMSON_CaseReference,CRIMSON_IncidentOutcome,CRIMSON_ReceivedDate,CRIMSON_ClosedDate,CRIMSON_DataController
IC-330685-Z2K4,Membership association,Clubs,Personal Data Breach,Investigation Pursued,GDPR,07/09/2024,25/10/2024,IC/0455/2024,Closed after intervention–in line with RAP,15/10/2024,07/01/2025,Charlton Athletic Football Company Limited
IC-330702-B8R9,Membership association,Clubs,Personal Data Breach,Investigation Pursued,GDPR,07/09/2024,25/10/2024,IC/0464/2024,Closed after intervention–in line with RAP,15/10/2024,07/01/2025,Charlton Athletic Women's Football Club Limited
IC-330497-H7B5,"Finance, insurance and credit",Banks and Building Societies,Personal Data Breach,Investigation Pursued,GDPR,06/09/2024,14/10/2024,IC/0453/2024,Closed after intervention–in line with RAP,11/10/2024,09/01/2025,ICBC (London) PLC
IC-320602-Z6H0,Education and childcare,Private schools,Personal Data Breach,Investigation Pursued,GDPR,18/07/2024,08/10/2024,IC/0446/2024,Closed after intervention–in line with RAP,08/10/2024,14/01/2025,Sibford School
IC-331935-L1J2,Transport and leisure,Entertainment providers,Personal Data Breach,Investigation Pursued,GDPR,13/09/2024,04/11/2024,IC/0480/2024,Closed after intervention–in line with RAP,04/11/2024,14/01/2025,Central Tickets Limited
IC-332642-T0K9,Retail and manufacture,Supplier of goods,Personal Data Breach,Investigation Pursued,GDPR,18/09/2024,01/11/2024,IC/0479/2024,Closed after intervention–in line with RAP,01/11/2024,15/01/2025,Harvey Nichols
IC-316138-H0H5,Retail and manufacture,Supplier of goods,Personal Data Breach,Investigation Pursued,GDPR,27/06/2024,16/07/2024,IC/0332/2024,Closed after intervention–in line with RAP,23/07/2024,16/01/2025,Shoe Zone Retail Limited
IC-314791-X9S8,Charitable and voluntary,National charities,Personal Data Breach,Investigation Pursued,GDPR,21/06/2024,17/07/2024,IC/0333/2024,Closed after intervention–in line with RAP,23/07/2024,16/01/2025,Fusion Lifestyle
IC-333909-G0K1,"Finance, insurance and credit",Financial services and advice,Personal Data Breach,Investigation Pursued,GDPR,24/09/2024,18/10/2024,IC/0461/2024,Closed after intervention–in line with RAP,18/10/2024,05/02/2025,MoneyGram International Ltd
IC-333910-R1Z0,"Finance, insurance and credit",Payment services,Personal Data Breach,Investigation Pursued,GDPR,24/09/2024,18/10/2024,IC/0462/2024,Closed after intervention–in line with RAP,18/10/2024,05/02/2025,MoneyGram International Sr
IC-329475-J7J6,Transport and leisure,Passenger transport,Personal Data Breach,Investigation Pursued,GDPR,02/09/2024,08/11/2024,IC/0488/2024,Closed after intervention–in line with RAP,08/11/2024,20/02/2025,Transport for London
