Name,Organisation,Final Value,Date Closed,Investigation Outcome Desc
INV/0369/2021,Aviva Life & Pensions UK Ltd,0,06/07/2021,No Personal Data
INV/0333/2021,Sackville School,0,06/07/2021,No action for DC
INV/0399/2021,DAKS Simpson Limited,0,08/07/2021,No action for DC
INV/0573/2021,Thackray Williams LLP,0,08/07/2021,No action for DC
INV/0426/2021,The Beans Group Limited,0,08/07/2021,No action for DC
INV/0183/2021,Eco World Ballymore Holding Company Limited,0,09/07/2021,Advice provided
INV/0185/2021,Leamouth (General Partner) Limited,0,09/07/2021,Advice provided
INV/1727/2020,People's Energy (Supply) Company,0,09/07/2021,Reprimand
INV/0182/2021,West Hampstead Square LLP,0,09/07/2021,Advice provided
INV/0557/2021,Employers for Childcare,0,20/07/2021,No action for DC
INV/0586/2021,Multi-Floor (Walsall) Ltd ,0,20/07/2021,No Personal Data
INV/0554/2021,Malvern Way School,0,21/07/2021,No action for DC
INV/0486/2021,HW Fisher & Company Limited,0,04/08/2021,No action for DC
INV/0263/2021,Rank Digital Gaming (Alderney) Limited,0,05/08/2021,No action for DC
INV/0692/2020,The Sleepstation Limited,0,06/08/2021,Advice provided
INV/0241/2020,Monzo Bank Limited,0,17/08/2021,No action for DC
INV/0904/2020,Carnival Plc,0,18/08/2021,Advice provided
INV/0512/2021,Life For A Life Memorial Forests,0,23/08/2021,No action for DC
INV/0542/2021,Sandhurst and Aldershot Beagles,0,23/08/2021,No action for DC
INV/0434/2021,Weald and Downland Living Museum,0,24/08/2021,No action for DC
INV/0748/2020,West Gate School,0,24/08/2021,No action for DC
INV/0469/2021,Esperus Systems Ltd,0,31/08/2021,No action for DC
INV/0468/2021,Sovrin Plastics Limited,0,31/08/2021,No action for DC
INV/0535/2021,VistaJet International Limited,0,31/08/2021,No action for DC
INV/1653/2020,LC Designs Co Limited,0,08/09/2021,No action for DC
INV/1616/2020,Arc Nursery,0,09/09/2021,No action for DC
INV/0266/2020,Hammersmith Medcines Research,0,09/09/2021,No action for DC
INV/0738/2020,Marshall Motor Group Ltd,0,09/09/2021,No action for DC
INV/0801/2020,Pimco UK Ltd,0,09/09/2021,No action for DC
INV/0788/2020,SEI Investments (Europe) Ltd,0,09/09/2021,No action for DC
INV/0631/2020,Ptarmigan Media Limited,0,10/09/2021,No action for DC
INV/1483/2020,CE Europe Limited,0,14/09/2021,No action for DC
INV/1204/2020,Cavendish Communications Limited,0,15/09/2021,No action for DC
INV/0516/2021,MBA Group Ltd,0,23/09/2021,No action for DC
INV/0509/2021,ME Engineers Ltd,0,27/09/2021,No action for DC
