ICE Case Reference,ICE Sector,ICE SubSector,ICE Function Type,ICE Decision,ICE Legislation,ICE Received Date,ICE Completed Date,CRIMSON Case Reference,CRIMSON Start Date,CRIMSON Closed Date,CRIMSON Investigation Outcome,CRIMSON Data Controller,Final Value
IC-187649-T6Y0,Online Technology and Telecoms,Social media,Personal Data Breach,Investigation Pursued,GDPR,15/08/2022,16/09/2022,INV/0295/2022,25/10/2022,28/07/2023,Reprimand,My Media World Ltd,0
IC-202161-G2Q8,"Finance, insurance and credit",Lenders,Personal Data Breach,Investigation Pursued,GDPR,10/11/2022,30/01/2023,INV/0115/2023,28/04/2023,11/08/2023,No further action,Evergreen Finance London Limited,0
IC-177370-C3H1,Land or property services,Housing association,Personal Data Breach,Investigation Pursued,GDPR,20/06/2022,24/06/2022,INV/0101/2023,21/04/2023,16/08/2023,No further action,Clarion Housing Group Limited,0
IC-88850-G4G5,Retail and manufacture,Manufacturing,Personal Data Breach,Investigation Pursued,GDPR,15/02/2021,24/02/2021,INV/0285/2021,15/02/2021,16/08/2023,Reprimand,Nohow International Limited,0
IC-201291-V1D2,Education and childcare,Community School,Personal Data Breach,Investigation Pursued,GDPR,04/11/2022,31/03/2023,INV/0178/2023,26/06/2023,21/08/2023,No action for DC,Park View School,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INV/0250/2020,17/02/2020,21/08/2023,No further action,easyJet Airline Companies Limited,0
IC-149012-R8D0,Central Government,Government Department,Personal Data Breach,Investigation Pursued,GDPR,07/01/2022,02/02/2022,INV/0381/2022,25/11/2022,21/08/2023,No further action,MINISTRY OF DEFENCE,0
IC-221199-W7G5,Land or property services,Housing association,Personal Data Breach,Investigation Pursued,GDPR,10/03/2023,18/04/2023,INV/0205/2023,14/07/2023,22/08/2023,No further action,The Guinness Partnership Limited,0
IC-116262-V6W2,General business,Recruitment agencies,Personal Data Breach,Investigation Pursued,GDPR,02/07/2021,20/07/2021,INV/0119/2022,14/04/2022,24/08/2023,No further action,Morgan Hunt Group,0
IC-136259-T3D5,General business,Unassigned,Personal Data Breach,Investigation Pursued,GDPR,20/10/2021,04/11/2021,INV/0035/2022,10/02/2022,25/08/2023,No action for DC,Computacenter UK Limited,0
IC-42562-Q8B5,Retail and manufacture,Supplier of goods,Personal Data Breach,Investigation Pursued,GDPR,15/06/2020,16/06/2020,INV/0351/2020,16/06/2020,25/08/2023,No further action,Claire's Accessories UK Ltd.,0
IC-102288-S0R0,Central Government,Government Department,Personal Data Breach,Investigation Pursued,GDPR,23/04/2021,04/06/2021,INV/0843/2021,04/06/2021,25/08/2023,No action for DC,"Foreign, Commonwealth and Development Office",0
IC-130871-T2G0,Central Government,Government Department,Personal Data Breach,Investigation Pursued,GDPR,22/09/2021,29/09/2021,INV/0844/2021,29/09/2021,25/08/2023,No action for DC,"Foreign, Commonwealth and Development Office",0
IC-124747-B1D0,Central Government,Government Department,Personal Data Breach,Investigation Pursued,GDPR,19/08/2021,24/08/2021,INV/0845/2021,24/08/2021,25/08/2023,No action for DC,"Foreign, Commonwealth and Development Office",0
IC-118260-F0B9,Central Government,Government Department,Personal Data Breach,Investigation Pursued,GDPR,14/07/2021,17/08/2021,INV/0846/2021,17/08/2021,25/08/2023,No action for DC,Wilton Park Executive Agency,0
IC-60213-Y0Z9,Central Government,Government Department,Personal Data Breach,Investigation Pursued,GDPR,25/09/2020,11/11/2020,INV/1422/2020,25/09/2020,25/08/2023,No action for DC,"Foreign, Commonwealth and Development Office",0
IC-70703-C2B7,Central Government,Government Department,Personal Data Breach,Investigation Pursued,GDPR,12/11/2020,23/11/2020,INV/1548/2020,12/11/2020,25/08/2023,No action for DC,"Foreign, Commonwealth and Development Office",0
IC-184718-K3P5,Retail and manufacture,Supplier of goods,Personal Data Breach,Investigation Pursued,GDPR,04/08/2022,22/02/2023,INV/0136/2023,18/05/2023,01/09/2023,No further action,Flavour Warehouse Limited,0
IC-147183-Z6S7,Local government,District Council,Personal Data Breach,Investigation Pursued,GDPR,22/12/2021,17/01/2022,INV/0189/2022,17/06/2022,06/09/2023,Reprimand,Gloucester City Council,0
IC-110579-N7R5,Online Technology and Telecoms,Unassigned,Personal Data Breach,Investigation Pursued,GDPR,03/06/2021,10/06/2021,INV/0958/2021,16/12/2021,06/09/2023,No further action,Cantium Business Solutions,0
IC-182958-Q8M0,Online Technology and Telecoms,Gaming,Personal Data Breach,Investigation Pursued,GDPR,22/07/2022,01/08/2022,INV/0294/2022,25/10/2022,13/09/2023,No further action,Neopets Inc,0
