Name,Start Date,Organisation ,Date Closed,Final Value,Investigation Outcome Desc
INV/0093/2020,22/04/2020,Gain Capital UK Limited ,20/10/2022,0,Reprimand
INV/0243/2020,25/02/2020,LOQBOX Savings Limited ,20/10/2022,0,Reprimand
INV/0252/2020,25/06/2018,Ticketmaster UK Limited ,20/10/2022,0,Paid in full
INV/0916/2021,29/11/2021,Travel Healthcare Insurance Solutions Inc. ,20/10/2022,0,Reprimand
INV/0257/2020,13/03/2020,Transpeed (Europe) Ltd,31/10/2022,0,No further action
INV/0316/2020,04/12/2019,New Vector Limited ,01/11/2022,0,No further action
INV/0312/2020,15/08/2019,New Vector Ltd ,01/11/2022,0,No further action
INV/0190/2022,17/06/2022,Europa Group ,11/11/2022,0,No further action
INV/0039/2022,02/11/2022,Labour Party ,11/11/2022,0,No further action
INV/0037/2022,02/11/2022,Tangent Marketing Services Ltd ,11/11/2022,0,No further action
INV/0955/2021,16/12/2021,"Twitch Interactive, Inc. ",11/11/2022,0,No further action
INV/0251/2020,06/08/2018,Dixons Carphone ,23/11/2022,0,Appeal
INV/0157/2020,14/05/2020,Interserve Group Limited ,23/11/2022,0,Paid in full
INV/0311/2020,25/03/2020,Chest Heart and Stroke Scotland,29/11/2022,0,No further action
INV/0261/2020,09/09/2019,Viseum (UK) Limited ,16/12/2022,0,No Personal Data
