ICE_Case Reference,ICE_Sector,ICE_SubSector,ICE_FunctionType,ICE_Decision,ICE_Legislation,ICE_Received Datetime,ICE_Completed DateTime,CRIMSON_CaseReference,CRIMSON_StartDate,CRIMSON_ClosedDate,CRIMSON_InvestigationOutcome,CRIMSON_DataController,Final Value
IC-165577-C0J5,Online Technology and Telecoms,Software developers,Personal Data Breach,Investigation Pursued,GDPR,10/04/2022,16/05/2022,INV/0035/2023,16/02/2023,03/04/2023,No further action,Maplesoft Europe Ltd,0
IC-89658-F2S3,Education and childcare,"Nursery, playgroups and After School club",Personal Data Breach,Investigation Pursued,GDPR,21/02/2021,17/05/2021,INV/0617/2021,21/02/2021,25/04/2023,Closed - Documents pasted into existing case,Ollie Owl Limited,0
IC-119547-F0W6,Health,Private Healthcare providers,Personal Data Breach,Investigation Pursued,GDPR,22/07/2021,02/08/2021,INV/0956/2021,16/12/2021,25/04/2023,No further action,Care Fertility Group,0
IC-205902-N7K0,Land or property services,Estate agency / letting agency,Personal Data Breach,Investigation Pursued,GDPR,04/12/2022,08/12/2022,INV/0060/2023,07/03/2023,25/04/2023,No further action,Chesterton Global Limited,0
IC-150241-L7K0,Education and childcare,Maintained schools,Personal Data Breach,Investigation Pursued,GDPR,14/01/2022,24/01/2022,INV/0380/2022,25/11/2022,02/05/2023,No further action,Durham Johnson Comprehensive School,0
IC-186278-Y6L3,Retail and manufacture,Supplier of goods,Personal Data Breach,Investigation Pursued,GDPR,12/08/2022,05/09/2022,INV/0429/2022,19/12/2022,03/05/2023,No further action,Ovens Retail Ltd,0
IC-184707-X8V0,Retail and manufacture,Supplier of services,Personal Data Breach,Investigation Pursued,GDPR,03/08/2022,25/08/2022,INV/0321/2022,11/11/2022,03/05/2023,No further action,Davies Group Limited,0
IC-204354-C2K6,Online Technology and Telecoms,Software developers,Personal Data Breach,Investigation Pursued,GDPR,23/11/2022,21/12/2022,INV/0065/2023,14/03/2023,03/05/2023,No further action,SSP Limited,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INV/0317/2022,11/11/2022,05/05/2023,No further action,Twitter International Unlimited,0
IC-89295-T5Y0,Online Technology and Telecoms,Software developers,Personal Data Breach,Investigation Pursued,GDPR,19/02/2021,22/04/2021,INV/0591/2021,19/02/2021,29/06/2023,No further action,Footfallcam UK Limited t/a Nurserycam,0
IC-213380-B1H4,Retail and manufacture,Supplier of goods,Personal Data Breach,Investigation Pursued,GDPR,27/01/2023,03/02/2023,INV/0105/2023,21/04/2023,30/06/2023,No further action,E H Booths & Co. Ltd,0
