ETid,Country,Date of Decision,Fine (EUR),Sector,Type of Violation,Summary,manual_label,confidence,notes
25,Germany,11/21/2018,20000,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"After a hacker attack in July personal data of approx. 330.000 users, including passwords and email addresses had been revealed.",cyber_malicious,High,
27,Germany,4/12/2019,80000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"In an administrative decision dated 12 April 2019, the authority imposed a fine of 80,000 euros on a medium-sized financial services company. This company had failed to take the necessary care to preserve the integrity and confidentiality of information within the meaning of Art. 5 para. 1 lit. f GDPR when disposing of documents containing personal data of two customers. Thus, without prior anonymisation, the papers were disposed of in the general waste paper recycling system, where the documents were found by a neighbour.",cyber_nonmalicious,Medium,documents in waste paper (physical disposal)
38,Hungary,4/5/2019,34375,Public Sector and Education,Insufficient fulfilment of data breach notification obligations,"NAIH imposed a fine of HUF 11,000,000 (EUR 34,375) on an undisclosed Hungarian political party for failing to notify the NAIH and relevant individuals about a data breach, and failing to document the breach according to GDPR Article 33.5. As mandated by law, the fine was based on 4% of the party's annual turnover and 2.65 % of its anticipated turnover for the coming year.

The breach was the result of a cyber attack by an anonymous hacker who accessed and disclosed information on the vulnerability of the organisation’s system – a database of more than 6,000 individuals – and the command used for the attack. The system was vulnerable to attack because of a redirection problem with the organisation's webpage. After the attacker published the command, even people with low IT knowledge were able to retrieve information from the database.",cyber_malicious,High,hacker attack on political party
40,Lithuania,5/16/2019,61500,"Finance, Insurance and Consulting",Insufficient fulfilment of data breach notification obligations,"During an inspection, the Lithuanian Data Protection Supervisory Authority found that the controller processed more data than necessary to achieve the purposes for which he was a controller. In addition, it became known that from 09 - 10 July 2018 payment data were publicly available on the internet due to inadequate technical and organisational measures. 9,000 payments with 12 banks from different countries were affected. According to the supervisory authority, a data breach notification pursuant to Art. 33 GDPR would have been necessary. The controller did not report the Data Breach.",cyber_nonmalicious,High,payment data publicly available (exposure)
62,Romania,7/5/2019,3000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The fine was imposed because adequate technical and organizational measures to ensure a level of security appropriate to the risk of processing were not implemented. This has led to unauthorized disclosure and unauthorized access to the personal data of people who have made transactions received by the avocatoo.ro website (name, surname, mailing address, email, phone, job, details of transactions made), due to publicly accessible documents between 10th of December 2018 and 1st of February 2019.

The National Supervisory Authority applied the sanction following a notification dated 12th of October 2018 indicating that a set of files regarding the details of the transactions received by the avocatoo.ro website which contained the name, surname, address correspondence, email, telephone, job and details of transactions made, was publicly accessible through two links.",cyber_nonmalicious,High,files publicly accessible
64,France,7/25/2019,180000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"Large amount of customer accounts, clients' documents (including copies of driver's licences, vehicle registration, bank statements and documents to determine whether a person had been the subject of a licence withdrawal) and data were easily accesible online. The CNIL, between others, critizised the password management (unauthorized access was possible without any authentication).",cyber_nonmalicious,High,documents accessible without authentication
71,Bulgaria,8/28/2019,2600000,Public Sector and Education,Insufficient technical and organisational measures to ensure information security,Leakage of personal data in a hacking attack due to inadequate technical and organisational measures to ensure the protection of information security. It was found that personal data concerning about 6 million persons was illegally accessible.,cyber_malicious,High,
75,Norway,4/29/2019,120000,Public Sector and Education,Insufficient technical and organisational measures to ensure information security,"Fine for security vulnerabilities in a mobile messaging app developed for use in an Oslo school. The app allows parents and students to send messages to school staff. Due to insufficient technical and organizational measures to protect information security, unauthorized persons were able to log in as authorized users and gain access to personal data about students, legal representatives and employees. The fine has meanwhile been reduced to EUR 120.000, see https://edpb.europa.eu/news/national-news/2020/norwegian-data-protection-authority-imposes-fine-municipality-oslo-education_en",cyber_nonmalicious,Medium,app vulnerability; actual exploitation not clearly stated
102,Poland,10/16/2019,47000,Industry and Commerce,Non-compliance with general data processing principles,The UODO imposed a fine of EUR 47000 for obstructing the exercise of the right of withdrawal for the processing of personal data. The company has not taken appropriate technical and organisational measures that allow the simple and effective withdrawal of consent to the processing of personal data and the exercise of the right to request the erasure of personal data.,not_cyber,High,obstructed right of withdrawal
112,Czech Republic,Unknown,980,Individuals and Private Associations,Insufficient technical and organisational measures to ensure information security,"The operator of an online game was exposed to several DDoS attacks which caused the malfunctioning of the servers. The attacker blackmailed the operator stating that the attacks will not stop unless he pays money. As part of the blackmail, the attacker offered the operator that he will create an upgraded and better firewall protection to the servers of the operator. The operator agreed and paid the attacker. The operator implemented the new code from the attacker which proved better than the old one but there was a ""backdoor"" in the code. The attacker used the backdoor to steal all the data from the server about the players and uploaded these details to his website. The Office for Personal Data Protection concluded that the operator did not take apropriate security measures.",cyber_malicious,High,DDoS blackmail + backdoor data theft
