Ref Number,Organisation,Closure Date,Incident Outcome Desc
IC/0241/2021,G & J Distillers Ltd,02/07/2021,No further action
IC/0245/2021,Planet Eclipse Ltd,02/07/2021,No further action
IC/0191/2021,Buzzacott LLP,06/07/2021,No further action
IC/0194/2021,Habia Cable Ltd ,06/07/2021,No further action
IC/0249/2021,Flamingo Horticulture Investments Limited,09/07/2021,No further action
IC/0176/2021,Geterbrewed,09/07/2021,No further action
IC/0187/2021,Verizon Media UK Limited,09/07/2021,No further action
IC/0281/2021,Hallite Seals International Ltd,14/07/2021,No further action
IC/0213/2021,Moor Park High School and Sixth Form,14/07/2021,No further action
IC/0290/2021,ACCO UK Limited,14/07/2021,No further action
IC/0181/2021,Eric Wright Group Limited,14/07/2021,No further action
IC/0197/2021,Celsius Network Limited ,20/07/2021,No further action
IC/0160/2021,C Watkins Plumbing Ltd,21/07/2021,No further action
IC/0199/2021,Scuf Gaming International LLC,21/07/2021,No further action
IC/0190/2021,Royal London,21/07/2021,No further action
IC/0155/2021,Airbnb Payments UK Ltd ,23/07/2021,No further action
IC/0284/2021,Canopius Services Limited,23/07/2021,No further action
IC/0229/2021,Carbrey Group Limited,23/07/2021,No further action
IC/0230/2021,Care Dental Platinum,23/07/2021,No further action
IC/0179/2021,CityDoc Medical Ltd,23/07/2021,No further action
IC/0167/2021,Groundwork North East,23/07/2021,No Personal Data Involved
IC/0185/2021,Merseyrail Electrics 2002 Ltd,23/07/2021,No further action
IC/0357/2021,American Institute For Foreign Study (UK) Limited,27/07/2021,No further action
IC/0153/2021,Pierre Fabre Ltd,28/07/2021,No further action
IC/0283/2021,MacIntyre Hudson LLP,04/08/2021,No further action
IC/0152/2021,Shoe Zone Retail Limited,04/08/2021,No further action
IC/0161/2021,Watkins Energy Ltd,04/08/2021,No further action
IC/0157/2021,Aspire Housing & Personal Development Services Ltd,05/08/2021,No further action
IC/0151/2021,StreetTeam Software Limited,05/08/2021,No further action
IC/0192/2021,Bauder Limited,09/08/2021,No further action
IC/0184/2021,Moba Mobile Automation Ltd,09/08/2021,No further action
IC/0198/2021,Legalease Limited,18/08/2021,No further action
IC/0399/2021,DMFH Ltd,19/08/2021,No further action
IC/0242/2021,Odyssey Trust for Education (Townley Grammar School and King Henry School),19/08/2021,No Personal Data Involved
IC/0352/2021,Pytchley Hunt Ltd,19/08/2021,No further action
IC/0312/2021,Taunton Vale Harriers,19/08/2021,No further action
IC/0266/2021,The Vale of the White Horse Hunt,19/08/2021,No further action
IC/0269/2021,The Vine and Craven Hunt,19/08/2021,No further action
IC/0405/2021,Twelfth Man Limited,19/08/2021,No further action
IC/0285/2021,Lady Hawkins Academy,20/08/2021,No further action
IC/0337/2021,LSH Auto UK,20/08/2021,No further action
IC/0331/2021,Maco Productions,20/08/2021,No further action
IC/0398/2021,Titan Airways Ltd,20/08/2021,No further action
IC/0403/2021,Daihatsu Diesel (Europe) Limited,20/08/2021,No further action
IC/0404/2021,London North West Healthcare NHS Trust,23/08/2021,No further action
IC/0367/2021,Mid Sussex District,23/08/2021,No further action
IC/0368/2021,MK Community Shop (Kingston) Limited,23/08/2021,No further action
IC/0366/2021,William Scott Consulting Limited,23/08/2021,No further action
IC/0225/2021,Asteelflash (Bedford) Limited,23/08/2021,No further action
IC/0333/2021,Qdime Limited,24/08/2021,No further action
IC/0231/2021,Livability,25/08/2021,No further action
IC/0168/2021,Nelson Childcare Ltd t/a Step by Step Day Nursery,25/08/2021,No further action
IC/0243/2021,Ruskin Community High School,25/08/2021,No further action
IC/0310/2021,Proactis Limited,25/08/2021,No further action
IC/0488/2021,T Mobile,27/08/2021,No Personal Data Involved
IC/0216/2021,Homewell Curlew Practice ,03/09/2021,No further action
IC/0300/2021,Midcounties Co-operative,03/09/2021,No further action
IC/0467/2021,The Bishop of Winchester Academy Trust,03/09/2021,No further action
IC/0280/2021,The Organic Pantry Limited,03/09/2021,No further action
IC/0393/2021,D Gurteen & Sons Ltd,07/09/2021,No further action
IC/0248/2021,English Volleyball Association Limited,08/09/2021,No further action
IC/0338/2021,Ministry of Justice,08/09/2021,No further action
IC/0381/2021,Australian Pacific Touring Pty Ltd,08/09/2021,No further action
IC/0171/2021,Gibson Young Solicitors ,08/09/2021,No further action
IC/0379/2021,Synergy Technology Ltd,08/09/2021,No further action
IC/0389/2021,Zonal Retail Data Systems Limited,08/09/2021,No further action
IC/0466/2021,Davy Textiles Limited,09/09/2021,No further action
IC/0468/2021,The Ropewalk,09/09/2021,No further action
IC/0174/2021,Hutchison 3G UK,09/09/2021,No Personal Data Involved
IC/0034/2021,Sky UK Limited,09/09/2021,No Personal Data Involved
IC/0447/2021,B M Howarth Limited ,10/09/2021,No further action
IC/0387/2021,Chemonics International Inc.,10/09/2021,No further action
IC/0386/2021,"L Brands, Inc",10/09/2021,No further action
IC/0235/2021,University of Glasgow,10/09/2021,No further action
IC/0383/2021,Royal College of Occupational Therapists,10/09/2021,No further action
IC/0459/2021,Karl Mayer Textile Machinery Limited,15/09/2021,No further action
IC/0474/2021,S and E Housing Limited,15/09/2021,No further action
IC/0461/2021,Crabtree PM Limited,15/09/2021,No further action
IC/0217/2021,Chubb European Group SE,16/09/2021,No further action
IC/0556/2021,Premium Plus UK Limited,21/09/2021,No further action
IC/0462/2021,TechStream Group,21/09/2021,No further action
IC/0469/2021,FaceGym Limited,27/09/2021,No further action
IC/0449/2021,Northway Dental Practice,27/09/2021,No further action
IC/0557/2021,Cressbrook Hall Cottages Ltd.,27/09/2021,No further action
IC/0551/2021,Monifieth Medical Practice,27/09/2021,No further action
IC/0548/2021,St Giles' CE Primary School,27/09/2021,No further action
IC/0473/2021,Alrec Ltd,28/09/2021,No further action
