ICE_Case Reference,ICE_Sector,ICE_SubSector,ICE_FunctionType,ICE_Decision,ICE_Legislation,ICE_Received Date,ICE_Completed Date,CRIMSON_CaseReference,CRIMSON_IncidentOutcome,CRIMSON_ReceivedDate,CRIMSON_ClosedDate,CRIMSON_DataController
IC-285503-R6B2,"Finance, insurance and credit",Financial services and advice,Personal Data Breach,Investigation Pursued,GDPR,30/01/2024,28/02/2024,IC/0089/2024,No further action,28/02/2024,04/04/2024,Assist Insurance Services Limited
IC-282038-V8C3,Retail and manufacture,Unassigned,Personal Data Breach,Informal action taken,GDPR,13/01/2024,29/02/2024,IC/0093/2024,No further action,29/02/2024,04/04/2024,Halara
IC-252236-R1X3,Retail and manufacture,Unassigned,Personal Data Breach,Investigation Pursued,GDPR,11/08/2023,12/01/2024,IC/0017/2024,No further action,12/01/2024,08/04/2024,F.Hinds Limited
IC-283704-X5Q2,Membership association,Clubs,Personal Data Breach,Investigation Pursued,GDPR,20/01/2024,28/02/2024,IC/0091/2024,No further action,28/02/2024,08/04/2024,The Caravan Club Ltd
IC-283851-P1R9,Transport and leisure,Unassigned,Personal Data Breach,Investigation Pursued,GDPR,23/01/2024,22/02/2024,IC/0081/2024,No further action,22/02/2024,09/04/2024,Park Holidays UK Limited
IC-252676-R1Z1,Education and childcare,Academy and Free Schools,Personal Data Breach,Investigation Pursued,GDPR,16/08/2023,22/01/2024,IC/0024/2024,No further action,19/01/2024,11/04/2024,Maiden Erlegh Trust
IC-275665-P9M0,Health,Private Healthcare providers,Personal Data Breach,Investigation Pursued,GDPR,07/12/2023,07/02/2024,IC/0048/2024,No further action,07/02/2024,15/04/2024,A24 Group Limited
IC-287778-M9J6,Online Technology and Telecoms,Infrastructure and hardware providers,Personal Data Breach,Investigation Pursued,GDPR,09/02/2024,08/03/2024,IC/0104/2024,No further action,08/03/2024,15/04/2024,Oughtred & Harrison Limited
IC-281136-R8C0,Online Technology and Telecoms,Unassigned,Personal Data Breach,Investigation Pursued,GDPR,11/01/2024,08/02/2024,IC/0051/2024,No further action,08/02/2024,15/04/2024,PLUS FIVE FIVE
IC-251423-D0J1,"Finance, insurance and credit",Financial services and advice,Personal Data Breach,Investigation Pursued,GDPR,10/08/2023,12/03/2024,IC/0112/2024,No further action,12/03/2024,16/04/2024,2 Plan Wealth Management Limited
