ICE_Case Reference,ICE_Sector,ICE_SubSector,ICE_FunctionType,ICE_Decision,ICE_Legislation,ICE_Received Date,ICE_Completed Date,CRIMSON_CaseReference,CRIMSON_IncidentOutcome,CRIMSON_ReceivedDate,CRIMSON_ClosedDate,CRIMSON_DataController
IC-239906-N4N9,"Finance, insurance and credit",Accountancy and Payroll,Personal Data Breach,Investigation Pursued,GDPR,17/06/2023,10/07/2023,IC/0259/2023,No further action,10/07/2023,04/10/2023,Glenbay
IC-247964-D1Q6,Retail and manufacture,Manufacturing,Personal Data Breach,Investigation Pursued,GDPR,28/07/2023,02/08/2023,IC/0308/2023,No further action,02/08/2023,12/10/2023,Moorhouse's Brewery Ltd
IC-242892-N0N9,Health,Secondary care,Personal Data Breach,Investigation Pursued,GDPR,03/07/2023,01/09/2023,IC/0362/2023,No further action,01/09/2023,17/10/2023,Barts Health NHS Trust
IC-246282-S0P1,Legal,Legal professionals,Personal Data Breach,Investigation Pursued,GDPR,19/07/2023,10/08/2023,IC/0329/2023,No further action,10/08/2023,24/10/2023,Kuit Steinart Levy LLP
IC-245067-N7K5,Retail and manufacture,Supplier of goods,Personal Data Breach,Investigation Pursued,GDPR,14/07/2023,03/08/2023,IC/0315/2023,No further action,03/08/2023,24/10/2023,Muji Europe Holdings Ltd
IC-255004-B0P9,General business,Market Research,Personal Data Breach,Investigation Pursued,GDPR,01/09/2023,13/09/2023,IC/0379/2023,No further action,13/09/2023,27/10/2023,About Loyalty
IC-246358-K5F5,Charitable and voluntary,National charities,Personal Data Breach,Investigation Pursued,GDPR,20/07/2023,10/08/2023,IC/0330/2023,No further action,10/08/2023,27/10/2023,Save The Children International
IC-246624-B7Z5,Health,Secondary care,Personal Data Breach,Investigation Pursued,GDPR,21/07/2023,10/08/2023,IC/0331/2023,No further action,10/08/2023,02/11/2023,Isle Of Wight NHS Trust
IC-246230-Y3D0,Health,Ambulance Service,Personal Data Breach,Investigation Pursued,GDPR,19/07/2023,09/08/2023,IC/0327/2023,No further action,09/08/2023,02/11/2023,South Central Ambulance NHS Trust
IC-246236-V3M2,Health,Ambulance Service,Personal Data Breach,Investigation Pursued,GDPR,19/07/2023,09/08/2023,IC/0326/2023,No further action,09/08/2023,02/11/2023,South Western Ambulance Service NHS Trust
IC-257316-H2B0,Retail and manufacture,Supplier of goods,Personal Data Breach,Investigation Pursued,GDPR,12/09/2023,11/10/2023,IC/0418/2023,No further action,11/10/2023,29/11/2023,Silva Timber Products Ltd
IC-249548-X3M6,General business,Recruitment agencies,Personal Data Breach,Investigation Pursued,GDPR,04/08/2023,01/09/2023,IC/0363/2023,No further action,01/09/2023,29/11/2023,The UK Recruitment Co. Limited
IC-258519-D0W1,General business,Supplier of services,Personal Data Breach,Investigation Pursued,GDPR,15/09/2023,11/10/2023,IC/0420/2023,No further action,11/10/2023,30/11/2023,Wexas Limited
IC-254481-P4S5,Retail and manufacture,Supplier of goods,Personal Data Breach,Investigation Pursued,GDPR,25/08/2023,07/09/2023,IC/0374/2023,No further action,07/09/2023,04/12/2023,Digital ID Ltd
IC-252861-Q5B7,General business,Market Research,Personal Data Breach,Investigation Pursued,GDPR,17/08/2023,11/09/2023,IC/0375/2023,No further action,11/09/2023,04/12/2023,Kokoro (ABA Market Research Ltd)
