Ref Number,Organisation,Closure Date,Incident Outcome Desc
IC/0606/2021,Lucton Pierrepont School Educational Trust ,06/01/2022,No further action
IC/0625/2021,Alivini Company Ltd ,06/01/2022,No further action
IC/0301/2021,MacIntyre Care ,07/01/2022,No further action
IC/0457/2021,Q River Ltd (mumandyou.com) ,07/01/2022,No further action
IC/0544/2021,No Limits Track Days Limited ,07/01/2022,No further action
IC/0574/2021,Webasto Thermo & Comfort UK Ltd ,07/01/2022,No further action
IC/0576/2021,ERGO Travel Insurance Services Ltd  ,07/01/2022,No further action
IC/0719/2021,Westcoast Limited ,07/01/2022,No further action
IC/0858/2021,Vivienne Westwood Limited ,07/01/2022,No further action
IC/0323/2021,Leon Kaye Solicitors ,13/01/2022,No further action
IC/0372/2021,"ON24, Inc. ",13/01/2022,No further action
IC/0400/2021,Eridge House Limited trading as Parsons Green Prep School ,13/01/2022,No further action
IC/0642/2021,Michael Page International Recruitment Ltd ,13/01/2022,No further action
IC/0648/2021,Morgan McKinley Group Ltd. ,13/01/2022,No further action
IC/0723/2021,Hastings Insurance Services Limited ,13/01/2022,No further action
IC/0733/2021,Chubb European Group SE ,13/01/2022,No further action
IC/0736/2021,Markerstudy Insurance Services Limited ,13/01/2022,No further action
IC/0737/2021,DAS Legal Expenses Insurance Limited ,13/01/2022,No further action
IC/0665/2021,A&J Ryan Mechanical Services,14/01/2022,No further action
IC/0667/2021,Candour Financial Planning Limited,14/01/2022,No further action
IC/0669/2021,Olivetree Wealth LLP,14/01/2022,No further action
IC/0670/2021,Adams Environmental Limited,14/01/2022,No further action
IC/0671/2021,Group Rapport Ltd ,14/01/2022,No further action
IC/0672/2021,Roundhouse Financial Services (London) Limited,14/01/2022,No further action
IC/0673/2021,FMS Sevenoaks LLP ,14/01/2022,No further action
IC/0674/2021,Arundel Wealth Management Ltd ,14/01/2022,No further action
IC/0676/2021,Executive Advisory Services Ltd,14/01/2022,No further action
IC/0677/2021,FMS South Park Ltd,14/01/2022,No further action
IC/0678/2021,Oakwood (Leaden Hill) Limited,14/01/2022,No further action
IC/0680/2021,PCB Byrne LLP,14/01/2022,No further action
IC/0681/2021, Strabens Hall Limited,14/01/2022,No further action
IC/0682/2021,Broadstreet Wealth Management Ltd,14/01/2022,No further action
IC/0683/2021,Leonard Curtis Limited ,14/01/2022,No further action
IC/0687/2021, Fortitude Financial Planning Ltd,14/01/2022,No further action
IC/0688/2021,Christchurch Investment Management Limited,14/01/2022,No further action
IC/0689/2021,Proposito Financial Planning,14/01/2022,No further action
IC/0690/2021,Newbold Wealth Management Limited,14/01/2022,No further action
IC/0691/2021,Obsidian Financial Limited,14/01/2022,No further action
IC/0692/2021,"Cooke,Young & Keidan LLP",14/01/2022,No further action
IC/0693/2021,Informed Choice Ltd,14/01/2022,No further action
IC/0694/2021,Willow Financial Planning Limited,14/01/2022,No further action
IC/0695/2021,Alumno Group Ltd ,14/01/2022,No further action
