ETid,Country,Date of Decision,Fine (EUR),Sector,Type of Violation,Summary,stratum,manual_label,confidence,notes
1726,Germany,2022,,Not assigned,Insufficient fulfilment of data breach notification obligations,The DPA from Bremen has fined a company for failing to inform the DPA pursuant to Art. 33 GDPR that an employee's business email account had been hacked.,malicious_kw,cyber_malicious,High,fined for late Art.33 notification; underlying incident = hacked email
2538,Spain,1/17/2025,12000.0,"Finance, Insurance and Consulting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine on CAJA RURAL DE ARAGÓN, S.C.C.. The controller had suffered a cyber attack in which the attackers were able to access customer data due to a security vulnerability in its systems. The DPA found that the company had failed to implement the necessary security measures that could have prevented such an incident. The original fine of EUR 15,000 was reduced to EUR 12,000 due to voluntary payment.",malicious_kw,cyber_malicious,High,
952,Finland,12/7/2021,608000.0,Health Care,Non-compliance with general data processing principles,"The Finnish DPA has fined Vastaamo psychotherapy center EUR 608,000. In September 2020, the psychotherapy center reported an attack on its patient database to the DPA. An unauthorized third party had gained access to Vastaamo's medical database on at least two occasions, in December 2018 and March 2019. The attacker had also siphoned off data and left a ransom note on the servers. Due to insufficient logging, neither the exact date of the breach nor the network addresses used by the attacker could be identified.

The most likely cause of the medical database leak was an unprotected port on the database where the root user account of the database was not password protected. The patient database server was open to the Internet without firewall protection during the period between November 26, 2017, and March 13, 2019.

For this reason, the DPA determined that the personal data were not adequately protected against unauthorized and unlawful processing or accidental loss, destruction, or damage, and that the controller had not implemented basic measures for the secure processing of personal data.

As part of its investigation, the DPA also determined that the controller must have known as early as March 2019 that data in the patient information system had been lost and could have been compromised by an external attacker. Vastaamo should have immediately reported the security breach to both the DPA and its patients. However, Vastaamo was significantly late in meeting this obligation. 

The fine is composed proportionately of EUR 145, 600 for the breach of Art. 33 (1) GDPR, EUR 145, 600 for the breach of Art. 34 (1) GDPR and EUR 316, 800 for the breach of Art. 5 (1) f) GDPR.",malicious_kw,cyber_malicious,High,Vastaamo — attacker left ransom note
1247,Spain,6/23/2022,30000.0,"Media, Telecoms and Broadcasting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine on RADIO TELEVISION MADRID, S.A.. Several media outlets, including the controller had published an audio recording of a multiple rape victim's testimony in court on their websites as well as on Twitter to report on the case. The case had attracted a lot of media attention. During its investigation, the DPA determined that the rape victim's right to privacy outweighed the controller's freedom of information. The audio recordings of the victim did not add any significant value to the reporting, but rather severely compromised the victim's privacy. For this reason, the DPA found that the controller violated the principle of data minimization. The original fine of EUR 50,000 was reduced to EUR 30,000 due to voluntary payment and admission of guilt.",malicious_kw,not_cyber,High,press freedom / minimization
2484,Ireland,12/17/2024,251000000.0,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"The Irish Data Protection Commission (DPC) has fined Meta Platforms Ireland Limited EUR 251 million. The fine was imposed for data protection violations related to a data breach that occurred in 2018 and affected 29 million Facebook accounts worldwide, including 3 million in the EU/EEA. Compromised data included names, email addresses, phone numbers, and children's data. The breach resulted from the exploitation of user tokens on the platform by unauthorized third parties. The DPC found that Meta had violated Art. 33 GDPR (EUR 11 million), as information was missing from the data breach notification, for example. The DPC also found violations of Art. 25 GDPR (EUR 240 million), concluding that Meta had failed to ensure that data protection principles were protected in the design of processing systems and had failed in its obligations as a controller to ensure that, by default, only personal data that are necessary for specific purposes are processed.",malicious_kw,cyber_malicious,High,token exploitation by third parties
2932,Romania,11/17/2025,8000.0,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 8,000 on PGS SOFA & CO SRL. The controller suffered a successful cyber attack due to insufficient technical and organisational measures.",malicious_kw,cyber_malicious,High,"brief but explicit ""cyber attack"""
1716,Spain,3/21/2023,50000.0,"Media, Telecoms and Broadcasting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine of EUR 50,000 on UNIDAD EDITORIAL INFORMACION GENERAL S.L.U.. Several media outlets, including the controller had published an audio recording of a multiple rape victim's testimony in court on their websites as well as on Twitter to report on the case. The case had attracted a lot of media attention. During its investigation, the DPA determined that the rape victim's right to privacy outweighed the controller's freedom of information. The audio recordings of the victim did not add any significant value to the reporting, but rather severely compromised the victim's privacy. For this reason, the DPA found that the controller violated the principle of data minimization.",malicious_kw,not_cyber,High,same rape-testimony media case
3147,United Kingdom,5/7/2026,1112100.0,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The UK DPA has imposed a fine of  £963,900 (EUR 1,1121,00) on South Staffordshire Plc and South Staffordshire Water Plc. The controller suffered a significant cyber attack that went undetected for 20 months. This attack was the result of a successful phishing attack, through which the attacker installed malicious software in the controller's IT system. Twenty months later, the attacker gained domain administrator rights and downloaded data. This resulted in the attacker publishing 4.1 TB of data on the dark web, affecting 633,887 data subjects. The attack was only discovered when the controller noted performance issues in its IT system. The controller failed to implement adequate control routines, monitoring and logging protocols (only 5% of the controller's IT system was monitored), adequate software on some devices, and adequate vulnerability management. The controller admitted liability and voluntarily cooperated with the DPA, resulting in the fine being reduced by 40% compared to the amount the DPA had planned to impose.",malicious_kw,cyber_malicious,High,phishing + malware
1973,Lithuania,4/20/2023,20000.0,Not assigned,Non-compliance with general data processing principles,"The Lithuanian DPA has fined a company EUR 20,000. The company had suffered a data breach in which personal data of 50,000 data subjects were compromised. 

During its investigation, the DPA found that the company had failed to implement appropriate technical and organizational measures to protect personal data. These included the lack of adequate access controls and authentication of IT system administrators in the controller's information systems. 
Also, the DPA found that the company failed to set an appropriate retention period for personal data.",malicious_kw,unclear,Medium,breach mechanism not stated
1024,Greece,1/27/2022,6000000.0,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"The Hellenic DPA has imposed a fine of EUR 6 million on Cosmote Mobile Telecommunications S.A.. Cosmote had reported a data breach to the DPA pursuant to Art. 33 GDPR. A hacker had penetrated the controller's systems and obtained and subsequently leaked data from Cosmote customers. The stolen data included sensitive information, from Cosmote subscribers such as age, gender and contract information. Nearly 10 million people were affected by the incident. 

For this reason, the DPA found that Cosmote had failed to implement adequate technical and organizational measures to ensure the proper execution of the data anonymization process.  In addition, Cosmote did not conduct a sufficient data protection impact assessment and did not properly inform data subjects about the processing of their data. 

Finally, the DPA found that Cosmote did not clearly regulate the allocation of roles in data processing with its subsidiary, OTE Group. 

In calculating the fine, the DPA aggravatingly took into account the very long duration of the breaches (6 years), the large number of data subjects, as well as the fact that no pseudonymization measures of the data were implemented over a long period of time.",malicious_kw,cyber_malicious,High,
